,Close,High,Low,Open,Volume
2026-05-19 09:30:00-04:00,299.2900085449219,299.6199951171875,297.5,298.0,3594490
2026-05-19 09:35:00-04:00,299.7923889160156,299.8599853515625,299.0299987792969,299.2799987792969,877060
2026-05-19 09:40:00-04:00,300.0450134277344,300.3900146484375,299.3699951171875,299.82000732421875,860470
2026-05-19 09:45:00-04:00,300.3450012207031,300.42999267578125,299.3699951171875,300.0450134277344,697179
2026-05-19 09:50:00-04:00,299.4224853515625,300.510009765625,299.3699951171875,300.3399963378906,641187
2026-05-19 09:55:00-04:00,299.0950012207031,299.54998779296875,298.95001220703125,299.3900146484375,495575
2026-05-19 10:00:00-04:00,298.68499755859375,299.1000061035156,298.4100036621094,299.0950012207031,364759
2026-05-19 10:05:00-04:00,298.3699951171875,298.7200012207031,298.04998779296875,298.6600036621094,490924
2026-05-19 10:10:00-04:00,297.6199951171875,298.409912109375,297.55999755859375,298.409912109375,503130
2026-05-19 10:15:00-04:00,297.68499755859375,297.9798889160156,297.3599853515625,297.6000061035156,512994
2026-05-19 10:20:00-04:00,297.5400085449219,297.7569885253906,297.2300109863281,297.6400146484375,385290
2026-05-19 10:25:00-04:00,296.9100036621094,297.55999755859375,296.8399963378906,297.5400085449219,375426
2026-05-19 10:30:00-04:00,296.6099853515625,297.2300109863281,296.5199890136719,296.92999267578125,329676
2026-05-19 10:35:00-04:00,296.7300109863281,297.010009765625,296.57000732421875,296.6300048828125,371459
2026-05-19 10:40:00-04:00,297.2349853515625,297.25,296.67999267578125,296.7200012207031,303178
2026-05-19 10:45:00-04:00,296.6400146484375,297.3999938964844,296.6400146484375,297.2449951171875,293005
2026-05-19 10:50:00-04:00,296.81500244140625,297.2749938964844,296.6099853515625,296.6619873046875,304498
2026-05-19 10:55:00-04:00,297.510009765625,297.5400085449219,296.7799987792969,296.79998779296875,257104
2026-05-19 11:00:00-04:00,297.42999267578125,297.6499938964844,297.30999755859375,297.4800109863281,261301
2026-05-19 11:05:00-04:00,297.7250061035156,297.75,297.239990234375,297.43499755859375,299481
2026-05-19 11:10:00-04:00,297.239990234375,297.7099914550781,297.1400146484375,297.7099914550781,223372
2026-05-19 11:15:00-04:00,297.3493957519531,297.5199890136719,297.239990234375,297.25,172284
2026-05-19 11:20:00-04:00,297.0950012207031,297.3999938964844,297.0299987792969,297.3299865722656,189252
2026-05-19 11:25:00-04:00,297.07000732421875,297.30499267578125,296.9800109863281,297.0799865722656,227290
2026-05-19 11:30:00-04:00,297.0,297.409912109375,296.9949951171875,297.05999755859375,241786
2026-05-19 11:35:00-04:00,297.45001220703125,297.4599914550781,296.8699951171875,297.0,184677
2026-05-19 11:40:00-04:00,297.2200012207031,297.5799865722656,297.05999755859375,297.4700012207031,1249764
2026-05-19 11:45:00-04:00,297.4100036621094,297.42999267578125,297.1600036621094,297.2300109863281,150529
2026-05-19 11:50:00-04:00,297.39990234375,297.45001220703125,297.260009765625,297.4100036621094,155499
2026-05-19 11:55:00-04:00,297.2799987792969,297.3999938964844,297.17041015625,297.3900146484375,147859
2026-05-19 12:00:00-04:00,297.2699890136719,297.3999938964844,297.1499938964844,297.2900085449219,130341
2026-05-19 12:05:00-04:00,296.9549865722656,297.2799987792969,296.93499755859375,297.2699890136719,215463
2026-05-19 12:10:00-04:00,296.5350036621094,297.0899963378906,296.364990234375,296.9700012207031,276046
2026-05-19 12:15:00-04:00,296.75,296.9100036621094,296.4800109863281,296.5400085449219,161168
2026-05-19 12:20:00-04:00,297.04998779296875,297.1199951171875,296.67999267578125,296.75,143150
2026-05-19 12:25:00-04:00,297.42498779296875,297.5,297.05999755859375,297.05999755859375,191854
2026-05-19 12:30:00-04:00,297.5703125,297.6300048828125,297.3599853515625,297.4100036621094,127621
2026-05-19 12:35:00-04:00,297.54998779296875,297.75,297.3699951171875,297.54998779296875,154733
2026-05-19 12:40:00-04:00,297.6600036621094,297.75,297.4599914550781,297.5299987792969,121382
2026-05-19 12:45:00-04:00,298.3900146484375,298.3999938964844,297.6400146484375,297.67999267578125,685482
2026-05-19 12:50:00-04:00,298.4599914550781,298.7200012207031,298.30999755859375,298.3999938964844,243611
2026-05-19 12:55:00-04:00,298.59991455078125,298.614990234375,298.31201171875,298.4649963378906,148290
2026-05-19 13:00:00-04:00,298.3951110839844,298.5899963378906,298.17498779296875,298.5799865722656,183735
2026-05-19 13:05:00-04:00,298.6000061035156,298.7200012207031,298.3900146484375,298.3949890136719,207125
2026-05-19 13:10:00-04:00,298.7099914550781,298.7300109863281,298.5400085449219,298.6099853515625,144333
2026-05-19 13:15:00-04:00,298.57501220703125,298.7300109863281,298.5,298.67498779296875,449739
2026-05-19 13:20:00-04:00,298.30999755859375,298.6400146484375,298.30999755859375,298.57501220703125,167902
2026-05-19 13:25:00-04:00,298.24951171875,298.42999267578125,298.17181396484375,298.30999755859375,197202
2026-05-19 13:30:00-04:00,297.92999267578125,298.260009765625,297.9200134277344,298.25,186367
2026-05-19 13:35:00-04:00,298.30999755859375,298.3500061035156,297.94000244140625,297.94000244140625,224297
2026-05-19 13:40:00-04:00,298.0849914550781,298.3699951171875,297.8399963378906,298.32000732421875,148892
2026-05-19 13:45:00-04:00,298.1700134277344,298.20001220703125,297.9599914550781,298.1000061035156,126605
2026-05-19 13:50:00-04:00,298.43499755859375,298.4869079589844,298.1199951171875,298.1600036621094,145565
2026-05-19 13:55:00-04:00,298.3900146484375,298.43499755859375,298.2101135253906,298.43499755859375,136899
2026-05-19 14:00:00-04:00,298.3349914550781,298.42999267578125,298.0400085449219,298.3800048828125,162909
2026-05-19 14:05:00-04:00,298.30999755859375,298.4100036621094,298.17999267578125,298.3349914550781,133098
2026-05-19 14:10:00-04:00,298.260009765625,298.3752136230469,298.2149963378906,298.30999755859375,114170
2026-05-19 14:15:00-04:00,298.29998779296875,298.3800048828125,298.010009765625,298.25,149356
2026-05-19 14:20:00-04:00,298.2250061035156,298.3900146484375,298.0400085449219,298.3299865722656,200828
2026-05-19 14:25:00-04:00,297.8900146484375,298.2900085449219,297.8699951171875,298.239990234375,202025
2026-05-19 14:30:00-04:00,297.739990234375,297.8699951171875,297.6099853515625,297.8699951171875,165950
2026-05-19 14:35:00-04:00,297.7699890136719,297.8800048828125,297.6700134277344,297.739990234375,124609
2026-05-19 14:40:00-04:00,297.7149963378906,297.8999938964844,297.70001220703125,297.760009765625,112091
2026-05-19 14:45:00-04:00,297.7799987792969,297.8399963378906,297.6600036621094,297.7149963378906,131856
2026-05-19 14:50:00-04:00,297.7300109863281,297.864990234375,297.6400146484375,297.760009765625,138518
2026-05-19 14:55:00-04:00,297.6300048828125,297.75,297.489990234375,297.7099914550781,234182
